# Weather station Belgrade, Serbia, WMO_ID=13274,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=13274&lang=en
#
"Local time in Belgrade";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.07.2020 15:00";"28.2";"751.0";"762.2";"";"47";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"15.7";"";"";"";"";"";"";
"27.07.2020 14:00";"29.4";"751.2";"762.4";"";"50";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.8";"";"";"";"";"";"";
"27.07.2020 13:00";"28.2";"751.3";"762.6";"-0.4";"51";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.2";"No precipitation";"6";"";"";"";"";
"27.07.2020 12:00";"27.8";"751.6";"762.8";"";"53";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.4";"";"";"";"";"";"";
"27.07.2020 11:00";"26.8";"751.7";"763.0";"";"56";"Wind blowing from the north-northwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.3";"";"";"";"";"";"";
"27.07.2020 10:00";"25.4";"751.7";"763.0";"0.1";"66";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"18.6";"";"";"";"";"";"";
"27.07.2020 09:00";"24.0";"751.8";"763.5";"";"76";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.5";"";"";"";"";"";"";
"27.07.2020 08:00";"21.3";"751.6";"763.3";"";"86";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.8";"";"";"";"";"";"";
"27.07.2020 07:00";"20.1";"751.6";"763.2";"0.8";"88";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"19.3";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.1";"No precipitation";"12";"Surface of ground moist.";"18.0";"";"";
"27.07.2020 06:00";"19.6";"751.3";"763.0";"";"93";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"18.4";"";"";"";"";"";"";
"27.07.2020 05:00";"19.3";"751.0";"762.7";"";"93";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"18.1";"";"";"";"";"";"";
"27.07.2020 04:00";"19.5";"750.8";"762.4";"0.4";"92";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"18.1";"";"";"";"";"";"";
"27.07.2020 03:00";"19.9";"750.6";"762.2";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"18.5";"";"";"";"";"";"";
"27.07.2020 02:00";"20.3";"750.5";"762.1";"";"93";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"20.0";"19.1";"";"";"";"";"";"";
"27.07.2020 01:00";"20.5";"750.4";"762.1";"0.5";"91";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.0";"No precipitation";"6";"";"";"";"";
"27.07.2020 00:00";"20.3";"750.3";"761.8";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"20.0";"19.0";"";"";"";"";"";"";
"26.07.2020 23:00";"20.4";"750.2";"761.8";"";"93";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.2";"";"";"";"";"";"";
"26.07.2020 22:00";"20.8";"749.9";"761.5";"0.7";"93";"Wind blowing from the south-southeast";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"19.6";"";"";"";"";"";"";
"26.07.2020 21:00";"21.0";"749.7";"761.2";"";"88";"Wind blowing from the east-southeast";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"19.0";"";"";"";"";"";"";
"26.07.2020 20:00";"21.6";"749.8";"761.1";"";"89";"Wind blowing from the east-southeast";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"19.7";"";"";"";"";"";"";
"26.07.2020 19:00";"22.1";"749.2";"760.6";"0.0";"85";"Wind blowing from the south";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"19.5";"2.0";"12";"";"";"";"";
"26.07.2020 18:00";"22.0";"749.2";"760.7";"";"87";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"19.8";"";"";"";"";"";"";
"26.07.2020 17:00";"22.1";"749.1";"760.6";"";"86";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"19.6";"";"";"";"";"";"";
"26.07.2020 16:00";"23.8";"749.2";"760.6";"0.3";"74";"Wind blowing from the north-west";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"20.0";"18.9";"";"";"";"";"";"";
"26.07.2020 15:00";"26.2";"748.7";"760.0";"";"58";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.3";"";"";"";"";"";"";
"26.07.2020 14:00";"26.9";"748.6";"760.0";"";"55";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"17.1";"";"";"";"";"";"";
"26.07.2020 13:00";"25.8";"748.9";"760.3";"-0.5";"65";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.8";"No precipitation";"6";"";"";"";"";
"26.07.2020 12:00";"25.3";"749.1";"760.5";"";"68";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.0";"";"";"";"";"";"";
"26.07.2020 11:00";"24.1";"749.2";"760.6";"";"72";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.8";"";"";"";"";"";"";
"26.07.2020 10:00";"22.4";"749.4";"760.9";"0.8";"80";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.7";"";"";"";"";"";"";
"26.07.2020 09:00";"20.7";"749.0";"760.6";"";"88";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"26.07.2020 08:00";"19.3";"749.0";"760.6";"";"92";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"10.0";"17.9";"";"";"";"";"";"";
"26.07.2020 07:00";"18.6";"748.6";"760.2";"0.5";"93";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"17.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"300-600";"";"";"10.0";"17.4";"No precipitation";"12";"Surface of ground moist.";"16.0";"";"";
"26.07.2020 06:00";"17.6";"748.5";"760.0";"";"96";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"16.9";"";"";"";"";"";"";
"26.07.2020 05:00";"17.9";"748.3";"759.8";"";"96";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"17.2";"";"";"";"";"";"";
"26.07.2020 04:00";"17.8";"748.1";"759.7";"0.1";"92";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.5";"";"";"";"";"";"";
"26.07.2020 03:00";"17.8";"748.1";"759.7";"";"92";"Wind blowing from the west-southwest";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.5";"";"";"";"";"";"";
"26.07.2020 02:00";"18.2";"748.1";"759.7";"";"90";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.5";"";"";"";"";"";"";
"26.07.2020 01:00";"18.3";"748.0";"759.7";"0.1";"89";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"16.4";"No precipitation";"6";"";"";"";"";
