,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1064,2,2,2,2,-2,-2,1,2,3,-1,1,-1,-1,0,2,2,2,2,-2,-2,2
1065,-2,-3,-2,0,2,2,2,1,-2,-2,-2,2,2,0,1,-3,-2,0,2,3,2
1066,2,1,-2,-2,1,1,-2,-2,-3,-3,-2,3,2,2,-2,-2,-2,2,3,2,-1
1067,-2,-2,3,3,3,-2,-3,-2,-1,3,3,2,1,-3,-3,-1,2,3,1,-2,-3
1068,0,2,3,2,0,-2,-2,-2,-2,2,1,-2,0,-3,-1,1,1,2,0,-2,-1
1069,-2,1,2,2,1,-2,-2,-2,1,0,2,1,1,-1,-2,-2,0,1,2,1,-2
1070,2,2,2,2,2,1,0,-1,2,2,2,2,0,-1,2,3,3,3,-3,-3,-2
1071,2,2,-2,-2,-2,-1,1,2,-1,-2,-1,-1,3,2,2,-2,-2,-3,1,2,3
1072,-2,-2,-2,1,2,0,-1,-2,0,2,2,1,-1,-2,-1,1,2,2,1,-2,-2
1073,2,2,1,-2,-2,-1,1,2,0,-1,-3,-1,-1,1,1,1,-2,-2,0,2,2
1074,2,3,3,3,-3,-3,-3,0,2,1,-2,-2,-3,-2,-1,1,1,2,-1,-1,-2
1075,3,3,3,2,-2,0,2,3,3,-2,-3,-3,-3,2,3,3,3,-3,-3,-3,-3
1076,-3,1,2,-2,-2,-2,0,2,3,2,2,-2,-3,-2,-1,2,2,0,-2,-2,-1
1077,-1,0,2,2,2,-1,0,1,2,2,2,2,1,-1,-2,-1,2,1,1,-1,-2
1078,-1,2,2,2,2,-2,-2,-1,1,2,2,-2,0,-3,0,-1,1,1,-2,-2,-2
1079,-1,1,2,2,0,-2,-3,-2,-2,1,2,1,1,0,1,2,2,2,-2,-2,-2
1080,-2,0,2,3,2,0,-2,-2,-2,-2,2,1,-2,0,-3,-1,1,1,2,0,-2
1081,-2,-2,1,-1,3,2,2,2,1,3,2,2,1,-3,-2,-1,0,3,2,-2,-2
1082,-3,-3,-3,-1,-3,-3,-3,-1,2,1,-2,-1,-3,0,0,2,3,2,1,-2,-3
1083,-1,-3,-3,-2,0,3,3,3,2,-2,0,2,3,3,-2,-3,-3,-3,2,3,3
1084,-2,1,2,2,1,-1,-1,1,1,3,2,1,-1,-1,1,2,3,2,2,-1,-1
1085,-2,0,2,2,1,-2,-3,0,2,3,2,1,0,-2,-2,-2,2,2,2,0,-2
1086,-1,-2,-2,-1,2,2,1,-1,-2,-2,-2,-1,1,1,-1,-2,-2,-1,0,2,2
1087,2,2,-2,-3,1,2,2,2,0,-2,-2,-2,2,2,2,1,-2,-3,-2,1,2
