Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action to Next Point
2,199,0,3,-2,2,2,1,-2,1
2,200,3,-2,2,2,1,-2,1,2
2,201,-2,2,2,1,-2,1,2,2
2,202,2,2,1,-2,1,2,2,2
2,203,2,1,-2,1,2,2,2,2
2,204,1,-2,1,2,2,2,2,2
2,205,-2,1,2,2,2,2,2,2
2,206,1,2,2,2,2,2,2,2
2,207,2,2,2,2,2,2,2,2
2,208,2,2,2,2,2,2,2,2
2,209,2,2,2,2,2,2,2,-2
2,210,2,2,2,2,2,2,-2,-2
2,211,2,2,2,2,2,-2,-2,0
2,212,2,2,2,2,-2,-2,0,2
2,213,2,2,2,-2,-2,0,2,2
2,214,2,2,-2,-2,0,2,2,-2
2,215,2,-2,-2,0,2,2,-2,-2
2,216,-2,-2,0,2,2,-2,-2,-1
2,217,-2,0,2,2,-2,-2,-1,-1
2,218,0,2,2,-2,-2,-1,-1,-2
2,219,2,2,-2,-2,-1,-1,-2,-2
2,220,2,-2,-2,-1,-1,-2,-2,-2
2,221,-2,-2,-1,-1,-2,-2,-2,-2
2,222,-2,-1,-1,-2,-2,-2,-2,2
2,223,-1,-1,-2,-2,-2,-2,2,-3
2,224,-1,-2,-2,-2,-2,2,-3,-1
2,225,-2,-2,-2,-2,2,-3,-1,-2
2,226,-2,-2,-2,2,-3,-1,-2,-2
2,227,-2,-2,2,-3,-1,-2,-2,-1
2,228,-2,2,-3,-1,-2,-2,-1,2
2,229,2,-3,-1,-2,-2,-1,2,2
2,230,-3,-1,-2,-2,-1,2,2,2
2,231,-1,-2,-2,-1,2,2,2,2
2,232,-2,-2,-1,2,2,2,2,2
2,233,-2,-1,2,2,2,2,2,-2
2,234,-1,2,2,2,2,2,-2,1
2,235,2,2,2,2,2,-2,1,-2
2,236,2,2,2,2,-2,1,-2,1
2,237,2,2,2,-2,1,-2,1,-1
2,238,2,2,-2,1,-2,1,-1,-2
2,239,2,-2,1,-2,1,-1,-2,-2
2,240,-2,1,-2,1,-1,-2,-2,-2
2,241,1,-2,1,-1,-2,-2,-2,-2
2,242,-2,1,-1,-2,-2,-2,-2,2
2,243,1,-1,-2,-2,-2,-2,2,2
2,244,-1,-2,-2,-2,-2,2,2,2
2,245,-2,-2,-2,-2,2,2,2,2
2,246,-2,-2,-2,2,2,2,2,2
2,247,-2,-2,2,2,2,2,2,-1
2,248,-2,2,2,2,2,2,-1,-2
2,249,2,2,2,2,2,-1,-2,-2
2,250,2,2,2,2,-1,-2,-2,-2
2,251,2,2,2,-1,-2,-2,-2,-2
3,1,0,-2,-2,-2,-2,-2,2,-3
3,2,-2,-2,-2,-2,-2,2,-3,2
3,3,-2,-2,-2,-2,2,-3,2,2
3,4,-2,-2,-2,2,-3,2,2,2
3,5,-2,-2,2,-3,2,2,2,-1
3,6,-2,2,-3,2,2,2,-1,3
3,7,2,-3,2,2,2,-1,3,-2
3,8,-3,2,2,2,-1,3,-2,2
3,9,2,2,2,-1,3,-2,2,2
3,10,2,2,-1,3,-2,2,2,2
3,11,2,-1,3,-2,2,2,2,2
3,12,-1,3,-2,2,2,2,2,2
3,13,3,-2,2,2,2,2,2,2
3,14,-2,2,2,2,2,2,2,2
3,15,2,2,2,2,2,2,2,2
3,16,2,2,2,2,2,2,2,2
3,17,2,2,2,2,2,2,2,2
3,18,2,2,2,2,2,2,2,2
3,19,2,2,2,2,2,2,2,1
3,20,2,2,2,2,2,2,1,1
3,21,2,2,2,2,2,1,1,-2
3,22,2,2,2,2,1,1,-2,-2
3,23,2,2,2,1,1,-2,-2,-2
3,24,2,2,1,1,-2,-2,-2,-2
3,25,2,1,1,-2,-2,-2,-2,-1
3,26,1,1,-2,-2,-2,-2,-1,2
3,27,1,-2,-2,-2,-2,-1,2,2
3,28,-2,-2,-2,-2,-1,2,2,2
3,29,-2,-2,-2,-1,2,2,2,-2
3,30,-2,-2,-1,2,2,2,-2,-2
3,31,-2,-1,2,2,2,-2,-2,2
3,32,-1,2,2,2,-2,-2,2,2
3,33,2,2,2,-2,-2,2,2,2
3,34,2,2,-2,-2,2,2,2,2
3,35,2,-2,-2,2,2,2,2,2
3,36,-2,-2,2,2,2,2,2,2
3,37,-2,2,2,2,2,2,2,-2
3,38,2,2,2,2,2,2,-2,-2
3,39,2,2,2,2,2,-2,-2,-2
3,40,2,2,2,2,-2,-2,-2,-2
3,41,2,2,2,-2,-2,-2,-2,-2
3,42,2,2,-2,-2,-2,-2,-2,-2
3,43,2,-2,-2,-2,-2,-2,-2,-2
3,44,-2,-2,-2,-2,-2,-2,-2,-2
3,45,-2,-2,-2,-2,-2,-2,-2,1
3,46,-2,-2,-2,-2,-2,-2,1,2
3,47,-2,-2,-2,-2,-2,1,2,2
3,48,-2,-2,-2,-2,1,2,2,2
3,49,-2,-2,-2,1,2,2,2,2
3,50,-2,-2,1,2,2,2,2,2
3,51,-2,1,2,2,2,2,2,1
3,52,1,2,2,2,2,2,1,2
3,53,2,2,2,2,2,1,2,2
3,54,2,2,2,2,1,2,2,2
3,55,2,2,2,1,2,2,2,-1
3,56,2,2,1,2,2,2,-1,2
3,57,2,1,2,2,2,-1,2,2
3,58,1,2,2,2,-1,2,2,2
3,59,2,2,2,-1,2,2,2,-2
3,60,2,2,-1,2,2,2,-2,-2
3,61,2,-1,2,2,2,-2,-2,-2
3,62,-1,2,2,2,-2,-2,-2,-2
3,63,2,2,2,-2,-2,-2,-2,-2
3,64,2,2,-2,-2,-2,-2,-2,1
3,65,2,-2,-2,-2,-2,-2,1,2
3,66,-2,-2,-2,-2,-2,1,2,2
3,67,-2,-2,-2,-2,1,2,2,-2
3,68,-2,-2,-2,1,2,2,-2,1
3,69,-2,-2,1,2,2,-2,1,2
3,70,-2,1,2,2,-2,1,2,-2
3,71,1,2,2,-2,1,2,-2,3
3,72,2,2,-2,1,2,-2,3,-2
3,73,2,-2,1,2,-2,3,-2,1
3,74,-2,1,2,-2,3,-2,1,1
3,75,1,2,-2,3,-2,1,1,2
