Region No,Group No,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action to Next Point
1,293,2,2,2,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2
1,294,2,2,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2
1,295,2,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2
1,296,2,1,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1
1,297,1,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0
1,298,-2,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1
1,299,-2,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2
1,300,1,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2
1,301,2,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2,3
1,302,3,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2,3,-1
1,303,-2,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2,3,-1,-2
1,304,-2,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2,3,-1,-2,-3
1,305,-2,-2,-1,-2,-2,-2,-1,0,-1,2,2,3,-1,-2,-3,-1
1,306,-2,-1,-2,-2,-2,-1,0,-1,2,2,3,-1,-2,-3,-1,-2
1,307,-1,-2,-2,-2,-1,0,-1,2,2,3,-1,-2,-3,-1,-2,-2
1,308,-2,-2,-2,-1,0,-1,2,2,3,-1,-2,-3,-1,-2,-2,0
1,309,-2,-2,-1,0,-1,2,2,3,-1,-2,-3,-1,-2,-2,0,2
1,310,-2,-1,0,-1,2,2,3,-1,-2,-3,-1,-2,-2,0,2,1
1,311,-1,0,-1,2,2,3,-1,-2,-3,-1,-2,-2,0,2,1,2
